Production Item No_,Production Variant Code,Location Code,Production Scheme Code,Activity Scheme Code,Add_ Activity Scheme Code
4012969,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012969
4012939,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4012939
4012919,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012919
4012952,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012952
4012940,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4012940
4013047,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013047
4013257,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013257
4013258,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013258
4012906,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012906
4012960,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012960
4012947,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-CLI,NJ00-4012947
4012966,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012966
4012961,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012961
4012973,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012973
4012924,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012924
4013259,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013259
4012907,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012907
4012962,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012962
4013260,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013260
4012908,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012908
4012963,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012963
4013244,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4013244
4012909,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012909
4012964,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012964
4013248,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013248
4012901,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012901
4012954,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-LAN,NJ00-4012954
4012938,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4012938
4012911,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012911
4012970,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012970
4013046,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4013046
4012944,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-PAT,NJ00-4012944
4012902,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012902
4012955,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012955
4012925,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012925
4013247,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013247
4012926,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012926
4013317,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4013317
4012927,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012927
4012957,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012957
4012972,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-CLI,NJ00-4012972
4013261,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013261
4013246,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4013246
4012903,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-MYS-BOU,NJ00-4012903
4012956,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-MYS-BOU,NJ00-4012956
4011524,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALPWS,NJ00-4011524
4008315,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALPWS,NJ00-4008315
4008317,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALPWS,NJ00-4008317
4011525,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALPWS,NJ00-4011525
4008318,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALPWS,NJ00-4008318
4011543,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALPWS,NJ00-4011543
4008319,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALPWS,NJ00-4008319
4011526,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALPWS,NJ00-4011526
4008320,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALPWS,NJ00-4008320
4011527,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALPWS,NJ00-4011527
4005735,,NJ00,NJ00-1GALROS-KNO,NJ00-1GALROS-DRI,NJ00-4005735
4008091,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-DRI,NJ00-4008091
4010517,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-DEC,NJ00-4010517
4012197,,NJ00,NJ00-5GALROS-OTF,NJ00-5GALSHR,NJ00-4012197
4006506,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-KNO,NJ00-4006506
4013073,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-KNO,NJ00-4013073
4012252,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-KNO,NJ00-4012252
4012876,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALROS-DRI,NJ00-4012876
4008321,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008321
4005737,,NJ00,NJ00-1GALROS-KNO,NJ00-1GALROS-DRI,NJ00-4005737
